,vacancy_name,company_name,city,salary_min,salary_max,salary_currency,vacancy_link,site
56,Middle Full-Stack Python Developer,АО Казахстанская фондовая биржа,Алматы,,,,https://hh.ru/vacancy/46070213,www.hh.ru
57,Data Scientist/Python Developer (remote),Nitka Technologies,Казань,,,,https://hh.ru/vacancy/46595156,www.hh.ru
58,Senior Python developer,AppQuantum,Москва,200 000,,['руб.'],https://hh.ru/vacancy/46327140,www.hh.ru
59,Backend разработчик Django/Python,Новые технологии,Кострома,100 000,,['руб.'],https://hh.ru/vacancy/43955935,www.hh.ru
60,Middle c++\python engineer,ООО Райтек,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/45924191,www.hh.ru
61,Back-end разработчик (Python),ООО Юникорн,Пермь,,,,https://hh.ru/vacancy/43325863,www.hh.ru
62,Junior Python - разработчик,АО Воронежский опытный завод программной продукции,Воронеж,,,,https://hh.ru/vacancy/46507141,www.hh.ru
63,Python Team Lead,WILDBERRIES,Самара,,,,https://hh.ru/vacancy/45843922,www.hh.ru
64,Middle Python Developer,NIX,Харьков,,,,https://hh.ru/vacancy/45273971,www.hh.ru
65,Middle/Senior Python Developer (Программист Python),Rainforest Life Pte Ltd,Санкт-Петербург,,,,https://hh.ru/vacancy/46100593,www.hh.ru
66,Lead Python Engineer (FinTech),ООО 4bill,Киев,,,,https://hh.ru/vacancy/46671917,www.hh.ru
67,Разработчик Python,Shterkel Systems,Челябинск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46500642,www.hh.ru
68,Разработчик Python,АО ФинТех,Москва,,,,https://hh.ru/vacancy/46522204,www.hh.ru
69,Python Developer,ООО Цифровое проектирование,Санкт-Петербург,,,,https://hh.ru/vacancy/42516416,www.hh.ru
70,"Web-разработчик (React, Python)",BeeJee,Киев,По договорённости,По договорённости,-,https://hh.ru/vacancy/45795350,www.hh.ru
71,Full Stack Developer (Python),ООО 4bill,Киев,,,,https://hh.ru/vacancy/46671993,www.hh.ru
72,Python-разработчик,ООО Регистратор доменных имен РЕГ.РУ,Самара,,,,https://hh.ru/vacancy/40404075,www.hh.ru
73,Бэкенд-разработчик (Python)/ Middle Python/ Python Developer (Remote),"ЮТэйр, Авиакомпания",Самара,По договорённости,По договорённости,-,https://hh.ru/vacancy/45244551,www.hh.ru
74,Middle / Senior Python Software Engineer,Godel Technologies Europe,Киев,,,,https://hh.ru/vacancy/46666387,www.hh.ru
75,Middle/Senior python/Go разработчик,Quiet Media,Москва,,,,https://hh.ru/vacancy/44685175,www.hh.ru
76,Senior Python developer,AppQuantum,Москва,200 000,,['руб.'],https://hh.ru/vacancy/46327140,www.hh.ru
77,Python программист (Наставник онлайн-курса по Python),Hexlet,Москва,,,,https://hh.ru/vacancy/46207062,www.hh.ru
78,Middle Python Developer,ScrumLaunch,Харьков,,,,https://hh.ru/vacancy/44947255,www.hh.ru
79,Python разработчик (middle),MyTona,Санкт-Петербург,,,,https://hh.ru/vacancy/45528071,www.hh.ru
80,Разработчик Python,ООО ЕВАППС,Тула,По договорённости,По договорённости,-,https://hh.ru/vacancy/44936197,www.hh.ru
81,Python Developer,OpenWeather,Москва,2 000,,['EUR'],https://hh.ru/vacancy/46351042,www.hh.ru
82,Backend Python Developer (удалённо),IT_Selection,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46510274,www.hh.ru
83,Lead Python Developer (SaaS/Remote),Hunt For You,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46547779,www.hh.ru
84,Инженер-программист Python,Центр финансовых технологий,Новосибирск,,,,https://hh.ru/vacancy/41959154,www.hh.ru
85,Ведущий Python разработчик,АО АСТ,Москва,,250 000,['руб.'],https://hh.ru/vacancy/46246724,www.hh.ru
86,Python разработчик,ПИК-БРОКЕР,Москва,,,,https://hh.ru/vacancy/45471612,www.hh.ru
87,Программист Python,ООО Прикладные технологии,Екатеринбург,,,,https://hh.ru/vacancy/42794572,www.hh.ru
88,Middle/Senior Python Developer,Scalable Solutions,Санкт-Петербург,По договорённости,По договорённости,-,https://hh.ru/vacancy/43856438,www.hh.ru
89,Python Developer,ООО Mad Devs,Краснодар,,,,https://hh.ru/vacancy/46593145,www.hh.ru
90,Python Backend Developer,ООО Napoleon IT,Красноярск,,,,https://hh.ru/vacancy/46224936,www.hh.ru
91,Python developer,ООО АйТи Мегастар,Новосибирск,По договорённости,По договорённости,-,https://hh.ru/vacancy/42864896,www.hh.ru
92,Senior Python-разработчик,IBIT,Москва,,,,https://hh.ru/vacancy/46215008,www.hh.ru
93,Senior Python Back-end Developer (Remote),AppFollow,Москва,,3 500,['EUR'],https://hh.ru/vacancy/46670557,www.hh.ru
94,Backend разработчик (Python),ООО Скайлав Рус,Москва,,,,https://hh.ru/vacancy/43944761,www.hh.ru
95,Python developer,ООО АйТи Мегастар,Омск,По договорённости,По договорённости,-,https://hh.ru/vacancy/45728417,www.hh.ru
96,Python Backend Developer,Intel Corporation,Москва,,,,https://hh.ru/vacancy/46605214,www.hh.ru
97,Разработчик Python (Афиша),Rambler Group,Москва,,,,https://hh.ru/vacancy/43341449,www.hh.ru
98,Python разработчик Middle,ООО Строительный Двор,Москва,,,,https://hh.ru/vacancy/40657939,www.hh.ru
99,Python Developer,Belitsoft,Минск,,,,https://hh.ru/vacancy/46661358,www.hh.ru
100,Python developer,GeekBrains,Москва,,,,https://hh.ru/vacancy/46308021,www.hh.ru
101,Разработчик Python,ПАО Первая Грузовая Компания,Москва,,,,https://hh.ru/vacancy/46309683,www.hh.ru
102,Программист-разработчик Python,АО Гринатом,Томск,,,,https://hh.ru/vacancy/46275968,www.hh.ru
103,Программист-разработчик Python,АО Гринатом,Казань,,,,https://hh.ru/vacancy/46275970,www.hh.ru
104,Middle Python-разработчик в команду Navi,2ГИС,Нижний Новгород,,,,https://hh.ru/vacancy/44385711,www.hh.ru
105,Middle/Senior Python Developer for AlmaLinux,Cloud Linux,Минск,,,,https://hh.ru/vacancy/46342298,www.hh.ru
106,Python developer Банк 131,FIX,Казань,,,,https://hh.ru/vacancy/45622341,www.hh.ru
107,Разработчик Python,ООО Комплексные Системы,Екатеринбург,,,,https://hh.ru/vacancy/46233241,www.hh.ru
108,Python разработчик,ООО Альфа Лайн,Тольятти,По договорённости,По договорённости,-,https://hh.ru/vacancy/46150486,www.hh.ru
109,Senior Python-разработчик,Тинькофф,Челябинск,,,,https://hh.ru/vacancy/42202145,www.hh.ru
110,QA Software Test Automation Engineer - Python Java,XM,Кипр,,,,https://hh.ru/vacancy/46447267,www.hh.ru
111,Full Stack Software Developer (Python),ООО Орион Софт,Минск,,,,https://hh.ru/vacancy/46092346,www.hh.ru
112,Python developer,ГОРОД,Москва,190 000,,['руб.'],https://hh.ru/vacancy/46161285,www.hh.ru
113,Программист / Разработчик Python/Django (middle/senior),CATAPULTO.RU,Омск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46253858,www.hh.ru
114,Python Developer,Девхаб,Минск,,,,https://hh.ru/vacancy/39892371,www.hh.ru
115,Ночной Змей | Python разработчик Senior/Team Lead,ООО Лидми сейлс девсолюшн,Минск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46211196,www.hh.ru
116,Senior Python Developer,HARMAN Connected Services,Нижний Новгород,,,,https://hh.ru/vacancy/46390544,www.hh.ru
117,Разработчик Python,ЭР-Телеком,Екатеринбург,,,,https://hh.ru/vacancy/46091410,www.hh.ru
118,Разработчик Python,ЭР-Телеком,Пермь,,,,https://hh.ru/vacancy/46091411,www.hh.ru
119,Python разработчик Middle,ООО Строительный Двор,Тюмень,По договорённости,По договорённости,-,https://hh.ru/vacancy/37029603,www.hh.ru
120,Разработчик Python,ПАО БАНК УРАЛСИБ,Москва,,,,https://hh.ru/vacancy/46512716,www.hh.ru
121,Разработчик в тестировании/SDET (Python),"СимбирСофт,ООО",Казань,,,,https://hh.ru/vacancy/46237924,www.hh.ru
122,Python developer,B2Broker Москва,Минск,По договорённости,По договорённости,-,https://hh.ru/vacancy/45610689,www.hh.ru
123,Senior developer Python (работа с данными),ООО Регистратор доменных имен РЕГ.РУ,Самара,,,,https://hh.ru/vacancy/38767775,www.hh.ru
124,Python Developer,ООО Страховая компания «Сбербанк страхование»,Москва,,,,https://hh.ru/vacancy/45160320,www.hh.ru
125,Инженер-разработчик Python,S8 Capital,Москва,,,,https://hh.ru/vacancy/46367489,www.hh.ru
126,Python-разработчик,ООО Регистратор доменных имен РЕГ.РУ,Самара,,,,https://hh.ru/vacancy/40404075,www.hh.ru
127,Junior Python Developer,Лаборатория Касперского,Москва,,,,https://hh.ru/vacancy/46487121,www.hh.ru
128,Full-Stack Python Разработчик (Django),ОАО Межрегиональный ТранзитТелеком (ОАО МТТ),Москва,,,,https://hh.ru/vacancy/44738683,www.hh.ru
129,Python developer (Big Data),"EPAM Systems, Inc.",Москва,,,,https://hh.ru/vacancy/40289976,www.hh.ru
130,Python backend developer (он-лайн кинотеатр KION),"ПАО «МТС», IT",Москва,,,,https://hh.ru/vacancy/46499114,www.hh.ru
131,Python developer (Middle / Senior),Big Data Solutions,Санкт-Петербург,,,,https://hh.ru/vacancy/44828907,www.hh.ru
132,Python developer,MOS.RU,Санкт-Петербург,,,,https://hh.ru/vacancy/46523942,www.hh.ru
133,Middle/Senior Python разработчик,QIWI,Москва,,,,https://hh.ru/vacancy/44779981,www.hh.ru
134,Python Developer (Backend),ТОО TargetAI Limited,Нур-Султан,,,,https://hh.ru/vacancy/46501234,www.hh.ru
135,Инженер-программист Python,ПАО Магнитогорский металлургический комбинат,Новосибирск,,,,https://hh.ru/vacancy/45398267,www.hh.ru
136,Backend разработчик (Python),ООО Скайлав Рус,Красноярск,,,,https://hh.ru/vacancy/42152515,www.hh.ru
137,Web-разработчик (Python),Доктор Веб,Москва,,,,https://hh.ru/vacancy/45814971,www.hh.ru
138,Senior Python разработчик,Positive Technologies,Новосибирск,,,,https://hh.ru/vacancy/46569161,www.hh.ru
139,Программист Python,ООО МАРК,Москва,100 000,,['руб.'],https://hh.ru/vacancy/46107111,www.hh.ru
140,Middle Python Developer for CloudLinux OS,Cloud Linux,Киев,,,,https://hh.ru/vacancy/46074857,www.hh.ru
141,Программист Python,ООО Регистратор доменных имен РЕГ.РУ,Нижний Новгород,,,,https://hh.ru/vacancy/42007512,www.hh.ru
142,Senior Python разработчик в SberDevices (команда SmartMarket),Сбер. IT,Москва,,,,https://hh.ru/vacancy/42667366,www.hh.ru
143,Python Backend Engineer (remote),AppFollow,Санкт-Петербург,,3 500,['EUR'],https://hh.ru/vacancy/46491941,www.hh.ru
144,Python разработчик (Senior),USETECH,Москва,,,,https://hh.ru/vacancy/46521198,www.hh.ru
145,Python Backend Engineer (remote),AppFollow,Нижний Новгород,,3 500,['EUR'],https://hh.ru/vacancy/46491942,www.hh.ru
146,Middle Backend Python/Django разработчик (удалённо),Школа программирования Kodland,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/44362486,www.hh.ru
147,Преподаватель по курсу Python и Анализу данных,Ozon Офис и Коммерция,Москва,,,,https://hh.ru/vacancy/46267016,www.hh.ru
148,Python Разработчик (machine learning),Лаборатория Касперского,Москва,,,,https://hh.ru/vacancy/46017272,www.hh.ru
149,Junior Python Developer,Admitad,Москва,100 000,,['руб.'],https://hh.ru/vacancy/46420684,www.hh.ru
150,Python Backend Engineer (remote),AppFollow,Москва,,3 500,['EUR'],https://hh.ru/vacancy/46491940,www.hh.ru
151,Middle Python Developer for CloudLinux OS,Cloud Linux,Львов,,,,https://hh.ru/vacancy/46052544,www.hh.ru
152,Python Developer (SPB/Remote),Grid Dynamics,Санкт-Петербург,,,,https://hh.ru/vacancy/43536761,www.hh.ru
153,Программист-аналитик Python,ООО Регистратор доменных имен РЕГ.РУ,Москва,,,,https://hh.ru/vacancy/42007370,www.hh.ru
154,Python разработчик в HR tech,Яндекс,Москва,,,,https://hh.ru/vacancy/46476172,www.hh.ru
155,"Full-stack Developer (React, Python)",Qenetex,Москва,,,,https://hh.ru/vacancy/46172185,www.hh.ru
156,Программист Python / Go,Selecty,Москва,,,,https://hh.ru/vacancy/46521777,www.hh.ru
157,Backend developer Python (middle/senior),Ростелеком - Центры обработки данных,Москва,,,,https://hh.ru/vacancy/44817772,www.hh.ru
158,Стажер-программист Python,ООО ЦАР ОТРАДА,Курск,15 000,,['руб.'],https://hh.ru/vacancy/46412210,www.hh.ru
159,Разработчик Solidity + Python,Barter Smartplace,Владимир,150 000,,['руб.'],https://hh.ru/vacancy/46455824,www.hh.ru
160,Python разработчик,Okko,Санкт-Петербург,,,,https://hh.ru/vacancy/46020898,www.hh.ru
161,Senior Python Разработчик,Softline,Санкт-Петербург,,,,https://hh.ru/vacancy/46536074,www.hh.ru
162,Middle++/Senior Python developer,БЕТА,Санкт-Петербург,160 000,,['руб.'],https://hh.ru/vacancy/46455110,www.hh.ru
163,Python-разработчик,АО НИИ МАСШТАБ,Санкт-Петербург,,,,https://hh.ru/vacancy/45713972,www.hh.ru
164,Middle/Senior Python-разработчик в SberDevices (команда Video Shopping),Сбер. IT,Санкт-Петербург,,,,https://hh.ru/vacancy/42389533,www.hh.ru
165,Middle Python Developer for CloudLinux OS [Remote],Cloud Linux,Москва,,,,https://hh.ru/vacancy/46052372,www.hh.ru
166,Python Developer / Разработчик Python,ООО МайтиТех,Москва,100 000,,['руб.'],https://hh.ru/vacancy/45229185,www.hh.ru
167,Middle Python Developer for CloudLinux OS [Remote],Cloud Linux,Санкт-Петербург,,,,https://hh.ru/vacancy/46052524,www.hh.ru
168,Python разработчик в SberDevices (направление Речевые Технологии),Сбер. IT,Москва,,,,https://hh.ru/vacancy/41136942,www.hh.ru
169,Разработчик на Python в Лавку,Яндекс,Москва,,,,https://hh.ru/vacancy/46440166,www.hh.ru
170,Senior Python Engineer,Epam Systems Ukraine,Харьков,,,,https://hh.ru/vacancy/46154570,www.hh.ru
171,Middle developer C/Python on Linux - KernelCare [Remote],Cloud Linux,Ростов-на-Дону,,,,https://hh.ru/vacancy/46252916,www.hh.ru
172,Мидл Разработчик Python/Django,ООО Куаликс,Уфа,90 000,,['руб.'],https://hh.ru/vacancy/46403998,www.hh.ru
173,Программист Python,Future Proof Technology,Киев,По договорённости,По договорённости,-,https://hh.ru/vacancy/46380909,www.hh.ru
174,Python Developer (middle/senior),GOST-group,Москва,,200 000,['руб.'],https://hh.ru/vacancy/45776335,www.hh.ru
175,Senior Python Developer for Imunify,Cloud Linux,Киев,,,,https://hh.ru/vacancy/45751975,www.hh.ru
176,Fullstack-developer (Python + JS),BrainShells,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46372339,www.hh.ru
177,Senior Python Developer продукт NLP платформа (MTS AI),"ПАО «МТС», IT",Москва,,,,https://hh.ru/vacancy/46041010,www.hh.ru
178,Программист Python,Тензор,Новосибирск,По договорённости,По договорённости,-,https://hh.ru/vacancy/42571241,www.hh.ru
179,Разработчик backend Python,ООО Кловер Групп,Москва,,,,https://hh.ru/vacancy/43111211,www.hh.ru
180,Ведущий Разработчик Python офлайн интеграции,ООО РСХБ-Интех,Москва,,,,https://hh.ru/vacancy/46528249,www.hh.ru
181,Python-разработчик (Middle),ООО Опендэв,Саратов,,,,https://hh.ru/vacancy/43794824,www.hh.ru
182,"Middle, senior (C++, Python) инженер",ООО FITTIN,Воронеж,По договорённости,По договорённости,-,https://hh.ru/vacancy/46364911,www.hh.ru
183,Python-разработчик в SberDevices (команда SmartMarket),Сбер. IT,Москва,,,,https://hh.ru/vacancy/43032430,www.hh.ru
184,Python Fullstack Developer,Playrix,Новосибирск,,,,https://hh.ru/vacancy/46353153,www.hh.ru
185,Middle Python developer,АО РТСофт,Екатеринбург,,,,https://hh.ru/vacancy/43809461,www.hh.ru
186,Python developer,ООО Специальный Технологический Центр,Санкт-Петербург,,,,https://hh.ru/vacancy/43046032,www.hh.ru
187,Бэкенд-разработчик (Python)/ Middle Python/ Python Developer (Remote),"ЮТэйр, Авиакомпания",Белгород,По договорённости,По договорённости,-,https://hh.ru/vacancy/45654903,www.hh.ru
188,Python Developer,XWAY,Москва,,,,https://hh.ru/vacancy/44954408,www.hh.ru
189,Middle/Senior Python Developer for AlmaLinux [Remote],Cloud Linux,Красноярск,,,,https://hh.ru/vacancy/46344090,www.hh.ru
190,Junior/Middle Python developer,ООО Эй Джи Софтваре,Минск,,,,https://hh.ru/vacancy/46317369,www.hh.ru
191,Senior Python Developer for Imunify [Remote],Cloud Linux,Санкт-Петербург,,,,https://hh.ru/vacancy/44259150,www.hh.ru
192,Middle developer C/Python on Linux - KernelCare [Remote],Cloud Linux,Минск,,,,https://hh.ru/vacancy/46252849,www.hh.ru
193,Python developer,ООО START.RU,Москва,,,,https://hh.ru/vacancy/46409090,www.hh.ru
194,Backend разработчик (Python),ООО Совкомбанк Технологии,Хабаровск,,,,https://hh.ru/vacancy/46465272,www.hh.ru
195,Python/Golang разработчик,ООО ИК СИБИНТЕК,Москва,,,,https://hh.ru/vacancy/46362087,www.hh.ru
196,Ведущий инженер-программист / разработчик (Python\Django),АО Омский НИИ Приборостроения,Омск,120 000,,['руб.'],https://hh.ru/vacancy/44397975,www.hh.ru
197,Pазработчик Python,IBS,Нижний Новгород,,,,https://hh.ru/vacancy/46348657,www.hh.ru
198,Программист Python,Колечкин Антон,Новосибирск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46303709,www.hh.ru
199,Python разработчик в SberDevices (команда Intelligent Search),Сбер. IT,Москва,,,,https://hh.ru/vacancy/43201449,www.hh.ru
200,Разработчик Python (backend),"ПАО МегаФон, IT",Краснодар,,,,https://hh.ru/vacancy/46335325,www.hh.ru
201,Программист / Разработчик Python/Django (middle/senior),CATAPULTO.RU,Красноярск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46274462,www.hh.ru
202,Senior Python Developer for Imunify [Remote],Cloud Linux,Алматы,,,,https://hh.ru/vacancy/45752111,www.hh.ru
203,Python Fullstack Developer,Playrix,Нижний Новгород,,,,https://hh.ru/vacancy/46353200,www.hh.ru
204,Python Middle Developer,Itransition,Минск,,,,https://hh.ru/vacancy/46439767,www.hh.ru
205,Программист / Разработчик Python/Django (middle/senior),CATAPULTO.RU,Казань,По договорённости,По договорённости,-,https://hh.ru/vacancy/46253862,www.hh.ru
206,Программист / Разработчик Python/Django (middle/senior),CATAPULTO.RU,Чита,По договорённости,По договорённости,-,https://hh.ru/vacancy/46274458,www.hh.ru
207,Backend разработчик Python,SBL- pharma,Москва,,300 000,['руб.'],https://hh.ru/vacancy/44010228,www.hh.ru
208,Программист-разработчик чат-ботов на Python,BOTTEC,Брянск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46278494,www.hh.ru
209,Python Developer,KPMG,Ростов-на-Дону,,,,https://hh.ru/vacancy/46303710,www.hh.ru
210,"Fullstack-разработчик (Python, JS)",Stroyportal.ru - интернет-площадка,Волгоград,100 000,,['руб.'],https://hh.ru/vacancy/46306230,www.hh.ru
211,Python разработчик (удаленно),ООО АйТиКвик,Краснодар,,300 000,['руб.'],https://hh.ru/vacancy/46275837,www.hh.ru
212,Ведущий разработчик Python (Ума.Тех),ООО UMA.Tech,Москва,,,,https://hh.ru/vacancy/45639882,www.hh.ru
213,Senior Python Developer (ML/Модерация),Циан,Москва,,,,https://hh.ru/vacancy/38936126,www.hh.ru
214,Data Engineer (Python),ООО АРЕС,Санкт-Петербург,,280 000,['руб.'],https://hh.ru/vacancy/46246517,www.hh.ru
215,Python Middle Developer,Itransition,Новосибирск,,,,https://hh.ru/vacancy/42512315,www.hh.ru
216,Senior Python Developer for Imunify,Cloud Linux,Минск,,,,https://hh.ru/vacancy/44259173,www.hh.ru
217,Python developer,ООО Accenture,Санкт-Петербург,,,,https://hh.ru/vacancy/46271442,www.hh.ru
218,Senior Machine Learning Developer (Java/Python),Joom,Москва,300 000,,['руб.'],https://hh.ru/vacancy/43770378,www.hh.ru
219,Python developer (Middle),"СимбирСофт,ООО",Киров (Кировская область),,,,https://hh.ru/vacancy/46400196,www.hh.ru
